Indicators,Year,Age_Group,Gender,Value
"Mortality rate, infant, male (per 1,000 live births)",2007,0-1,Male,11.1
Number of maternal deaths,2007,Reproductive Age,Total,120
"Nurses and midwives (per 1,000 people)",2007,Total,Total,2.026
"Physicians (per 1,000 people)",2007,Total,Total,0.549
Population ages 0-14 (% of total population),2007,Total,Total,25.6652773
Population ages 15-64 (% of total population),2007,Total,Total,67.46366301
Population ages 65 and above (% of total population),2007,Total,Total,6.871059695
"Population, female",2007,Total,Female,10437686
"Population, female (% of total population)",2007,Total,Female,50.93406407
"Population, male",2007,Total,Male,10054859
"Population, male (% of total population)",2007,Total,Male,49.06593593
"Population, total",2007,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2007,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2007,15-24,Male,0.1
Sex ratio at birth (male births per female births),2007,Total,Female,1.047
"Suicide mortality rate (per 100,000 population)",2007,Total,Total,22.03
"Suicide mortality rate, female (per 100,000 female population)",2007,Total,Female,8.29
"Suicide mortality rate, male (per 100,000 male population)",2007,Total,Male,36.29
"Survival to age 65, female (% of cohort)",2007,Total,Female,86.298808
"Survival to age 65, male (% of cohort)",2007,Total,Male,68.87988
Age dependency ratio (% of working-age population),2008,Total,Total,48.40972708
"Age dependency ratio, old (% of working-age population)",2008,Total,Total,10.4358133
"Age dependency ratio, young (% of working-age population)",2008,Total,Total,37.97391378
"Birth rate, crude (per 1,000 people)",2008,Total,Total,18.204
Current health expenditure (% of GDP),2008,Total,Total,3.85482955
"Death rate, crude (per 1,000 people)",2008,Total,Total,6.947
"Fertility rate, total (births per woman)",2008,Total,Total,2.232
"Hospital beds (per 1,000 people)",2008,Total,Total,3.35
"Incidence of HIV, all (per 1,000 uninfected population)",2008,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2008,Total,Total,0.14
"Incidence of tuberculosis (per 100,000 people)",2008,Total,Total,66
"Life expectancy at birth, female (years)",2008,Total,Female,77.69
"Life expectancy at birth, male (years)",2008,Total,Male,67.879
"Life expectancy at birth, total (years)",2008,Total,Total,72.556
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2008,Reproductive Age,Total,30
"Mortality rate, adult, female (per 1,000 female adults)",2008,Adult,Female,80.51
"Mortality rate, adult, male (per 1,000 male adults)",2008,Adult,Male,241.268
"Mortality rate, infant (per 1,000 live births)",2008,0-1,Total,9.7
"Mortality rate, infant, female (per 1,000 live births)",2008,0-1,Female,8.7
"Mortality rate, infant, male (per 1,000 live births)",2008,0-1,Male,10.7
Number of maternal deaths,2008,Reproductive Age,Total,110
"Nurses and midwives (per 1,000 people)",2008,Total,Total,1.482
"Physicians (per 1,000 people)",2008,Total,Total,0.615
Population ages 0-14 (% of total population),2008,Total,Total,25.58721354
Population ages 15-64 (% of total population),2008,Total,Total,67.38102816
Population ages 65 and above (% of total population),2008,Total,Total,7.031758301
"Population, female",2008,Total,Female,10531352
"Population, female (% of total population)",2008,Total,Female,51.05026434
"Population, male",2008,Total,Male,10098026
"Population, male (% of total population)",2008,Total,Male,48.94973566
"Population, total",2008,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2008,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2008,15-24,Male,0.1
Sex ratio at birth (male births per female births),2008,Total,Female,1.047
"Suicide mortality rate (per 100,000 population)",2008,Total,Total,21.23
"Suicide mortality rate, female (per 100,000 female population)",2008,Total,Female,7.83
"Suicide mortality rate, male (per 100,000 male population)",2008,Total,Male,35.21
"Survival to age 65, female (% of cohort)",2008,Total,Female,86.637068
"Survival to age 65, male (% of cohort)",2008,Total,Male,66.616335
Age dependency ratio (% of working-age population),2009,Total,Total,48.639674
"Age dependency ratio, old (% of working-age population)",2009,Total,Total,10.72416067
"Age dependency ratio, young (% of working-age population)",2009,Total,Total,37.91551334
"Birth rate, crude (per 1,000 people)",2009,Total,Total,17.628
Current health expenditure (% of GDP),2009,Total,Total,4.05676842
"Death rate, crude (per 1,000 people)",2009,Total,Total,7.984
"Fertility rate, total (births per woman)",2009,Total,Total,2.179
"Hospital beds (per 1,000 people)",2009,Total,Total,3.46
"Incidence of HIV, all (per 1,000 uninfected population)",2009,Total,Total,0.1
"Incidence of malaria (per 1,000 population at risk)",2009,Total,Total,0.11
"Incidence of tuberculosis (per 100,000 people)",2009,Total,Total,66
"Life expectancy at birth, female (years)",2009,Total,Female,75.335
"Life expectancy at birth, male (years)",2009,Total,Male,65.696
"Life expectancy at birth, total (years)",2009,Total,Total,70.298
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2009,Reproductive Age,Total,28
"Mortality rate, adult, female (per 1,000 female adults)",2009,Adult,Female,99.972
"Mortality rate, adult, male (per 1,000 male adults)",2009,Adult,Male,268.235
"Mortality rate, infant (per 1,000 live births)",2009,0-1,Total,13
"Mortality rate, infant, female (per 1,000 live births)",2009,0-1,Female,12.1
"Mortality rate, infant, male (per 1,000 live births)",2009,0-1,Male,13.9
Number of maternal deaths,2009,Reproductive Age,Total,100
"Nurses and midwives (per 1,000 people)",2009,Total,Total,1.528
"Physicians (per 1,000 people)",2009,Total,Total,0.671
Population ages 0-14 (% of total population),2009,Total,Total,25.50834235
Population ages 15-64 (% of total population),2009,Total,Total,67.27678669
Population ages 65 and above (% of total population),2009,Total,Total,7.214870954
"Population, female",2009,Total,Female,10622449
"Population, female (% of total population)",2009,Total,Female,51.17665672
"Population, male",2009,Total,Male,10133986
"Population, male (% of total population)",2009,Total,Male,48.82334328
"Population, total",2009,Total,Total,19293054
"Prevalence of HIV, female (% ages 15-24)",2009,15-24,Female,0.1
"Prevalence of HIV, male (% ages 15-24)",2009,15-24,Male,0.1
Sex ratio at birth (male births per female births),2009,Total,Female,1.046
"Suicide mortality rate (per 100,000 population)",2009,Total,Total,18.99
"Suicide mortality rate, female (per 100,000 female population)",2009,Total,Female,8.09
"Suicide mortality rate, male (per 100,000 male population)",2009,Total,Male,30.41
"Survival to age 65, female (% of cohort)",2009,Total,Female,82.906732
"Survival to age 65, male (% of cohort)",2009,Total,Male,62.686523
